"Image {current} of {total}","Image {current} of {total}"
"previous","previous"
"next","next"
"close","close"
"Include jQuery","Include jQuery"
"Select jQuery include type","Select jQuery include type"
"Colorbox theme","Colorbox theme"
"Select a theme","Select a theme"
"Size of main image","Size of main image"
"Size in pixels width_height. (Default 265_265)","Size in pixels width_height. (Default 265_265)"
"Size of popup image","Size of popup image"
"Size in pixels width_height. (Default 500_500)","Size in pixels width_height. (Default 500_500)"
"Size of additional images","Size of additional images"
"Size in pixels width_height. (Default 60_60)","Size in pixels width_height. (Default 60_60)"
