Add Jquery File,Add Jquery File
"Image Option","Image Option"
"Enabled","Enabled"
"Use the following option types","Use the following option types"
"Display Option Name","Display Option Name"
"Lowercase Filename","Lowercase Filename"
"Replace Spaces","Replace Spaces"
"Replace spaces in optionname with underline ""_""","Replace spaces in optionname with underline ""_"""
"Replace Characters","Replace Characters"
"List of characters that should be replaced in filename, e.g. $=_,%=-","List of characters that should be replaced in filename, e.g. $=_,%=-"
"Folder","Folder"
"Subpath, located in magento mediapath","subpath, located in magento mediapath"
"Filetype","Filetype"
"Use Default Size","Use Default Size"
"Height","Height"
"Width","Width"
"Default Height of Display Image","Default Height of Display Image"
"Default Width of Display Image","Default Width of Display Image"
"Radio","Radio"
"Checkbox","Checkbox"
"Use Product Image Cache Folder","Use Product Image Cache Folder"
"Resample Image","Resample Image"
"No: Image will be stretched","No: Image will be stretched"
Only Image,Only Image
"Subfolders","Subfolders"
"Only Rootfolder","Only Rootfolder"
"SKU","SKU"
"Title of Option","Titel der Option"
"SKU and Title of Option","SKU and Title of Option"
"Display Order","Display Order"
"Image","Image"
"Text","Text"
