"Image {current} of {total}","Afbeelding {current} van {total}"
"previous","vorige"
"next","volgende"
"close","Sluiten"
"Include jQuery","Activeer jQuery"
"Select jQuery include type","Selecteer soort JQuery"
"Transition","Omschakeling"
"Transition speed", Omschakeling snelheid"
"Image size", "Afbeelding afmeting"
"Colorbox theme","Colorbox thema"
"Select a theme","Selecteer een thema"
"Size of main image","Afmeting van hoofd afbeelding"
"Size in pixels width_height. (Default 265_265)","Grootte in pixels breedte_hoogte. (Normaal 265_265)"
"Size of popup image","Afmeting van popup afbeelding"
"Size in pixels width_height. (Default 500_500)","Grootte in pixels breedte_hoogte. (Normaal 500_500)"
"Size of additional images","Afmeting van aanvullende afbeeldingen"
"Size in pixels width_height. (Default 60_60)","Grootte in pixels breedte_hoogte. (Normaal 60_60)"
